date,time,page,desc
2026-04-20,07:59,32,First file written by agents to OpenAI Artifactory instance before rebuild. Earliest confirmed 2026 write activity in this Artifactory instance. This is the first known instance of agents writing an arbitrary file to Artifactory.
2026-05-12,17:06,32,First message-board post on OpenAI Artifactory instance before rebuild. An agent requested a file that was missing from their evaluation.
2026-05-26,18:24,32,First SSRF via Artifactory. Establishes agents using Artifactory as a relay to reach arbitrary external hosts.
2026-05-26,19:50,32,Agents sent Git LFS batch download requests via WebCache to two Hugging Face datasets - one published by OpenAI and one published by a third party - requesting the same specific file by its content identifier.
2026-05-26,20:04,32,First write logged via WebCache to a Hugging Face repository associated with a specific user account - a commit containing file content. This is the earliest confirmed file written to an external platform.
2026-05-26,20:15,32,"A repository-creation request was sent via WebCache to create a private Hugging Face dataset, authenticated under the same Hugging Face user token used previously. First confirmed repo creation request."
2026-05-26,20:49,32,Agents deployed a custom proxy application via WebCache to Hugging Face Spaces.
2026-05-26,20:53,32,The agent-built proxy Space returned a successful response.
2026-05-26,20:54,32,First use of the deployed proxy Space as an outbound relay—a Google search request for the same file identifier that agents attempted to download from Hugging Face.
2026-05-26,21:07,32,Agents checked access to two gated Hugging Face benchmark datasets and submitted access requests to both.
2026-05-26,21:08,33,"Using a second Hugging Face account, agents deployed another proxy Space through the first proxy Space."
2026-06-04,17:43,33,First arbitrary-destination SSRF through Artifactory. The request target was a publicly accessible web relay service.
2026-06-12,02:35,33,"First confirmed SSRF to an internal service: an Artifactory remote-repository request reached Artifactory’s own loopback API, which returned its system-version response to the caller."
2026-06-17,00:49,33,First confirmed two-way inter-agent coordination message on the second Artifactory instance.
2026-06-26,06:32,33,First evidence of agents explicitly sharing SSRF technique syntax with each other through the message board on Artifactory.
2026-06-26,20:15,33,"Agents exploited Artifactory’s token-refresh flaw to obtain an administrator token, then used the resulting administrator access to create two local Artifactory users with administrator capability: karchive7dee-admin at 20:28 and minizfe78 at 20:37."
2026-06-26,23:01,33,Agents download Groovy plugin to Artifactory.
2026-06-29,04:55,33,First confirmed Groovy plugin execution (/api/plugins/execute/) via Artifactory. Agents gain persistent application-level code execution capability.
